customer_id,order_id,total_price,time_placed
GS65P,JZK7U,15.43,2018-01-01 04:23:45
CSZGS,2RMA3,45.76,2018-01-09 02:44:26
2DR30,51AF1,23.57,2018-01-10 11:51:09
K3DKJ,L92NT,98.45,2018-01-15 06:28:05
M84WC,F1TN0,76.43,2018-01-16 10:37:32
XKBQL,ARD8Y,50.45,2018-01-19 16:19:38
J6W0N,ROIJ2,23.31,2018-01-20 00:05:26
JVN1X,8Y0WZ,33.93,2018-01-23 06:49:43
ASOVT,1PTSF,69.06,2018-01-26 13:15:06
JVN1X,M6FIH,43.20,2018-01-28 08:19:04
G9QVR,7LJ5F,29.58,2018-01-28 17:21:57
OA7TD,Y53YK,17.94,2018-01-29 06:29:48
U52Y2,DHX9Z,16.45,2018-01-30 19:03:10
P3JMP,54ETE,10.12,2018-01-30 22:38:01
XCUJX,SWZ2V,19.85,2018-02-01 20:39:15
HHKNN,RZFSA,19.41,2018-02-01 22:06:21
Y86VC,9GEM2,107.82,2018-02-01 22:11:02
FXX0B,WT4WD,22.52,2018-02-02 09:36:51
VQ69N,L8Y8M,33.12,2018-02-03 06:27:42
XV2WX,74G2E,14.72,2018-02-04 00:37:01
32Z7Y,MLKAN,106.32,2018-02-04 03:57:46
0ETHD,SFDPV,7.61,2018-02-06 11:20:58
KCY1P,4GY9P,23.31,2018-02-08 04:15:54
TGCXG,0VW8N,153.92,2018-02-08 06:41:32
0M27O,75VP3,159.06,2018-02-08 14:18:03
NZ6RH,F0XXP,139.32,2018-02-09 15:11:39
071R3,M91E9,166.59,2018-02-10 13:16:29
ISHW8,HYNIR,58.66,2018-02-10 15:20:00
OBK9B,DXGFB,42.56,2018-02-11 18:27:20
402EP,BYUZ8,8.40,2018-02-12 18:55:20
KXAUG,U73K1,20.65,2018-02-13 05:03:13
X0SFQ,BUIJV,102.85,2018-02-15 05:21:57
Y86VC,FPDDB,25.40,2018-02-15 17:50:04
FY34F,BL0AF,117.70,2018-02-16 02:56:00
P3FPZ,M20ME,25.55,2018-02-19 02:13:14
TFJGZ,1HKJC,3.96,2018-02-19 03:58:51
FKTNQ,HOWHB,11.11,2018-02-19 09:27:20
PXWGX,NYOD7,83.25,2018-02-19 23:56:52
TY6OR,FPP30,84.50,2018-02-21 01:41:15
D22J7,7VIEE,46.40,2018-02-21 02:49:23
X647O,J3AGX,16.83,2018-02-21 04:57:24
AUYK2,SFGUV,6.40,2018-02-21 06:10:12
O15SU,SHYOZ,131.32,2018-02-22 08:07:19
6D7T3,98XWS,81.84,2018-02-23 06:52:30
3F56U,X5V6L,61.12,2018-02-23 09:59:18
G7YNW,7JKUZ,79.82,2018-02-24 05:01:20
ZQR2O,XDEFQ,7.86,2018-02-24 14:10:28
TZ0T4,MCN6O,20.60,2018-02-25 06:00:37
K8UA4,92HTK,13.83,2018-02-25 10:11:03
CFRC5,ABE91,415.04,2018-02-27 15:41:10
TQU0V,YB79H,146.36,2018-03-01 01:42:03
ETAIG,SFHYT,64.45,2018-03-01 10:30:46
5506R,36TVC,8.91,2018-03-01 13:58:01
91H9E,CZT6Q,12.25,2018-03-02 02:57:31
0WZH2,MQH01,12.40,2018-03-02 04:11:25
NMQIJ,IYKHG,45.20,2018-03-02 11:31:36
HIF6V,AP4HF,158.75,2018-03-02 22:31:59
YTEDF,G599Q,58.36,2018-03-03 17:40:25
FX4RA,Q15QJ,29.76,2018-03-04 20:02:38
UGJ9B,EG51Z,8.33,2018-03-05 04:28:05
RMGGV,HYWNZ,239.58,2018-03-05 06:53:41
LWN92,NEWD9,24.78,2018-03-06 13:13:23
FOC3C,DDGKY,75.96,2018-03-06 16:04:15
V4S82,6DKLQ,46.10,2018-03-07 02:41:31
XAQHA,D0CF2,41.34,2018-03-07 19:30:19
NS5H2,T0QAX,5.71,2018-03-07 23:47:06
7WH7M,4WPXA,196.48,2018-03-08 15:49:36
IFJFZ,E9JV8,81.40,2018-03-09 03:26:44
SPS4B,KWR4E,27.52,2018-03-09 04:18:46
RXQND,C64G3,25.21,2018-03-09 22:12:14
M26UD,H615W,49.19,2018-03-10 02:43:04
73X9S,SW0C5,77.12,2018-03-10 16:21:15
F36CZ,1LND6,4.10,2018-03-11 11:48:21
XXT85,JQBX1,20.34,2018-03-11 23:51:24
GBWP4,NT8FG,46.84,2018-03-12 00:50:50
MO8VN,2F15W,17.52,2018-03-12 11:49:57
QQQBA,1QY7V,10.08,2018-03-12 17:58:06
V2M4M,JYZZN,52.11,2018-03-12 20:11:58
M8B06,XSMJM,20.75,2018-03-13 02:25:27
XP17V,E0ZHQ,67.92,2018-03-13 18:49:05
00WNZ,PAIWB,42.28,2018-03-14 00:12:10
M0XRR,WT1JW,6.38,2018-03-14 01:39:43
NBRMN,I4SHF,58.82,2018-03-15 08:31:16
PW1LD,IVPDK,76.41,2018-03-15 17:27:05
HSQIL,UYLZV,143.10,2018-03-15 19:43:18
RSU9A,3YDKD,21.70,2018-03-15 22:39:21
OHKIO,HNXH4,109.40,2018-03-16 16:36:35
CFGLH,3SXJO,5.91,2018-03-16 21:23:40
RQSBZ,1MD16,227.27,2018-03-18 01:03:31
19QFR,N860B,11.80,2018-03-18 15:27:59
AVLQH,D2EQP,32.12,2018-03-18 15:55:19
GSWLM,O712F,75.00,2018-03-19 00:31:33
B8WJY,JS0XB,30.72,2018-03-19 11:15:07
Z372Y,JGKQ4,5.82,2018-03-19 12:22:24
Z2TIS,YNIXS,62.80,2018-03-19 23:20:06
R9YLM,BY0CZ,198.10,2018-03-20 20:12:57
0HU3M,JTMNH,64.44,2018-03-21 06:03:46
D0YRV,7BVM3,90.20,2018-03-22 23:02:23
8JZW4,51GDC,65.34,2018-03-23 03:14:53
CFXO7,UK6NK,10.55,2018-03-23 23:56:09
ZM9TY,HCFWC,20.71,2018-03-24 00:28:37
6PPN0,OLAQT,89.91,2018-03-24 02:46:44
GA1OS,D35SR,4.74,2018-03-24 05:50:28
VRU1Z,4C039,4.71,2018-03-24 12:41:19
6KL6G,PWE4W,144.40,2018-03-25 09:54:57
C0Y7M,8D1V7,46.00,2018-03-25 10:56:00
G341K,ZUP55,147.15,2018-03-25 16:23:43
AUK2M,FZSVU,15.08,2018-03-26 02:10:30
FKII9,VWHPO,20.16,2018-03-26 04:58:17
7L7YT,XEQ5A,28.60,2018-03-26 20:47:37
GY0KK,LHQUK,16.14,2018-03-26 21:25:46
5H31M,MXDKI,34.74,2018-03-27 09:14:51
OE4HV,C89CM,88.52,2018-03-27 10:29:38
2DR30,2AC2G,43.68,2018-03-27 18:45:06
XM4JB,9W0WL,23.28,2018-03-28 18:08:24
QAEOW,SFP3V,17.50,2018-03-29 08:57:29
XSE5T,O7EI7,141.39,2018-03-29 12:48:15
EA882,AK6G1,18.80,2018-03-30 15:25:07
U5WUX,3II21,56.16,2018-03-30 18:55:23
NL4VD,ZEP36,61.38,2018-03-30 19:42:10
KNBNP,I9W31,108.45,2018-03-31 01:45:43
KFYOB,ALLEE,18.72,2018-03-31 18:56:55
T9AAN,ZVN3H,48.16,2018-03-31 22:37:04
5XTXC,C0S4N,32.13,2018-04-01 00:57:17
HS6UU,LDT47,3.46,2018-04-01 19:08:14
15J08,77NRQ,4.66,2018-04-01 21:51:24
DM43S,6EE24,2.26,2018-04-03 12:00:41
VIUXI,0QR3T,11.13,2018-04-03 20:33:15
Y9SFQ,170Z0,43.59,2018-04-03 22:25:17
6HCGW,OOTTU,13.52,2018-04-04 08:51:11
VNF5U,U5XMP,71.04,2018-04-04 14:16:23
3AW1V,XM5K5,153.09,2018-04-04 15:50:45
5TFVD,A8L2K,10.86,2018-04-04 19:06:25
XR2HK,TNJE2,70.35,2018-04-05 12:24:24
