order_id,total_price,time_placed,pickup_time,customer_id,shopper_id,state,license_plate,store_id,time_fulfilled
JZK7U,15.43,2018-01-01 04:23:45,,GS65P,QFT7M,DC,HMB 138,T5RSD,2018-01-01 08:10:25
2RMA3,45.76,2018-01-09 02:44:26,,CSZGS,C0CRZ,CA,65-UE96,LQNUN,2018-01-09 11:52:31
51AF1,23.57,2018-01-10 11:51:09,,2DR30,WJ8LW,GA,0VP 603,SJCSG,2018-01-10 19:01:49
L92NT,98.45,2018-01-15 06:28:05,2018-01-15 11:00:19,K3DKJ,XJUVO,TN,95-79220,OCOLY,2018-01-15 13:15:31
F1TN0,76.43,2018-01-16 10:37:32,2018-01-16 13:51:58,M84WC,KMD2W,KS,0-A8139,6QSXS,2018-01-16 17:54:46
ARD8Y,50.45,2018-01-19 16:19:38,,XKBQL,0TFDB,ND,526 PJD,GJNJB,2018-01-19 21:52:13
ROIJ2,23.31,2018-01-20 00:05:26,2018-01-20 00:43:12,J6W0N,ZMABB,CA,11-56943,AMT4C,2018-01-20 05:28:42
8Y0WZ,33.93,2018-01-23 06:49:43,2018-01-23 12:38:17,JVN1X,4NBXO,UT,PYU 295,I5OZH,2018-01-23 12:47:23
1PTSF,69.06,2018-01-26 13:15:06,2018-01-26 17:22:59,ASOVT,8XTJ3,OH,1BA44,U4IQO,2018-01-26 19:56:18
M6FIH,43.20,2018-01-28 08:19:04,,JVN1X,KNBNP,UT,PYU 295,7SDSK,2018-01-28 17:20:03
7LJ5F,29.58,2018-01-28 17:21:57,,G9QVR,I3NZB,CA,E36-67V,XSFYQ,2018-01-28 21:58:44
Y53YK,17.94,2018-01-29 06:29:48,,OA7TD,G2Q4I,CA,46U•501,1ZTDE,2018-01-29 13:14:01
DHX9Z,16.45,2018-01-30 19:03:10,2018-01-30 19:36:05,U52Y2,R47CP,CA,BOL-8079,UU677,2018-01-30 19:41:25
54ETE,10.12,2018-01-30 22:38:01,,P3JMP,BBU3I,CA,794 PHS,I4R4M,2018-01-31 04:25:08
SWZ2V,19.85,2018-02-01 20:39:15,,XCUJX,QNBDK,CA,H67-CSH,B5XT7,2018-02-02 06:27:18
RZFSA,19.41,2018-02-01 22:06:21,2018-02-02 02:41:51,HHKNN,ANJMP,IL,RZO-924,3W6UE,2018-02-02 03:38:15
9GEM2,107.82,2018-02-01 22:11:02,2018-02-01 23:55:49,Y86VC,ROZ39,CA,2EZ42,3T1TP,2018-02-02 02:41:11
WT4WD,22.52,2018-02-02 09:36:51,,FXX0B,ECOXA,CA,LMQ 800,3II5S,2018-02-02 12:37:22
L8Y8M,33.12,2018-02-03 06:27:42,2018-02-03 12:21:06,VQ69N,BD8T1,KY,AJY-5200,TMZ9R,2018-02-03 17:58:58
74G2E,14.72,2018-02-04 00:37:01,2018-02-04 01:06:34,XV2WX,KMD2W,CA,JRE0728,6QSXS,2018-02-04 03:48:57
MLKAN,106.32,2018-02-04 03:57:46,,32Z7Y,RP5FU,CA,CW 45074,ZQ79W,2018-02-04 06:18:49
SFDPV,7.61,2018-02-06 11:20:58,2018-02-06 15:05:49,0ETHD,TCIB2,CA,F87 5KO,74JM7,2018-02-06 20:51:57
4GY9P,23.31,2018-02-08 04:15:54,2018-02-08 07:11:49,KCY1P,ETAIG,CA,12KY1,F6ZK0,2018-02-08 09:20:21
0VW8N,153.92,2018-02-08 06:41:32,2018-02-08 07:00:47,TGCXG,UAS84,CA,208-QGS,X52OV,2018-02-08 11:55:16
75VP3,159.06,2018-02-08 14:18:03,2018-02-08 17:27:15,0M27O,NL2AE,OR,ZZ 19195,I374Z,2018-02-08 17:42:17
F0XXP,139.32,2018-02-09 15:11:39,2018-02-09 15:42:46,NZ6RH,PNM5I,CA,MR8 3863,8YOR0,2018-02-09 16:35:59
M91E9,166.59,2018-02-10 13:16:29,2018-02-10 17:51:52,071R3,3E6EG,SC,630-QDR,CRBII,2018-02-10 20:50:56
HYNIR,58.66,2018-02-10 15:20:00,2018-02-10 16:10:48,ISHW8,FKII9,CA,026J1,P1Q9D,2018-02-10 18:00:26
DXGFB,42.56,2018-02-11 18:27:20,2018-02-11 21:08:50,OBK9B,SK4KI,AL,W04-GUX,BTSUW,2018-02-12 02:36:40
BYUZ8,8.40,2018-02-12 18:55:20,2018-02-12 19:18:16,402EP,DMR7G,CA,BZU-6326,JESAR,2018-02-12 22:50:43
U73K1,20.65,2018-02-13 05:03:13,,KXAUG,9M2CI,SC,7JXL596,FW8ZT,2018-02-13 11:55:29
BUIJV,102.85,2018-02-15 05:21:57,,X0SFQ,3HXMS,WY,MSE-7671,70GOX,2018-02-15 10:38:30
FPDDB,25.40,2018-02-15 17:50:04,,Y86VC,NTJ7C,CA,2EZ42,34KK0,2018-02-15 23:27:04
BL0AF,117.70,2018-02-16 02:56:00,2018-02-16 08:43:08,FY34F,FJQB7,CA,221 VUV,ABRPL,2018-02-16 14:39:15
M20ME,25.55,2018-02-19 02:13:14,,P3FPZ,B7KXS,CA,9WM Q91,HU152,2018-02-19 06:21:43
1HKJC,3.96,2018-02-19 03:58:51,,TFJGZ,1UJX9,MI,783 1678,SG708,2018-02-19 08:04:19
HOWHB,11.11,2018-02-19 09:27:20,2018-02-19 13:31:18,FKTNQ,KY1VR,CA,328CHE,75EWH,2018-02-19 18:34:06
NYOD7,83.25,2018-02-19 23:56:52,2018-02-20 00:15:49,PXWGX,EQS4S,CA,Z07-EBK,596YT,2018-02-20 03:23:58
FPP30,84.50,2018-02-21 01:41:15,2018-02-21 02:30:02,TY6OR,IVAK8,WI,698V7,XGW8A,2018-02-21 06:27:39
7VIEE,46.40,2018-02-21 02:49:23,2018-02-21 07:13:36,D22J7,7RVJN,CA,320 XPN,ZLYE6,2018-02-21 09:32:58
J3AGX,16.83,2018-02-21 04:57:24,2018-02-21 07:19:06,X647O,DHT4W,AZ,H12-UXV,UYQ5A,2018-02-21 11:17:36
SFGUV,6.40,2018-02-21 06:10:12,,AUYK2,S8S8W,OR,254 KMD,LJ7HH,2018-02-21 12:38:34
SHYOZ,131.32,2018-02-22 08:07:19,,O15SU,6U497,CA,53Z 848,AULSB,2018-02-22 15:34:50
98XWS,81.84,2018-02-23 06:52:30,,6D7T3,63SY1,OK,477 2PK,0HKZ3,2018-02-23 13:45:30
X5V6L,61.12,2018-02-23 09:59:18,,3F56U,8SJGW,CA,LTI 407,ZV68L,2018-02-23 13:59:43
