customer_id,order_id,total_price
GS65P,JZK7U,15.43
CSZGS,2RMA3,45.76
2DR30,51AF1,23.57
K3DKJ,L92NT,98.45
M84WC,F1TN0,76.43
XKBQL,ARD8Y,50.45
J6W0N,ROIJ2,23.31
JVN1X,8Y0WZ,33.93
ASOVT,1PTSF,69.06
JVN1X,M6FIH,43.20
G9QVR,7LJ5F,29.58
OA7TD,Y53YK,17.94
U52Y2,DHX9Z,16.45
P3JMP,54ETE,10.12
XCUJX,SWZ2V,19.85
HHKNN,RZFSA,19.41
Y86VC,9GEM2,107.82
FXX0B,WT4WD,22.52
VQ69N,L8Y8M,33.12
XV2WX,74G2E,14.72
32Z7Y,MLKAN,106.32
0ETHD,SFDPV,7.61
KCY1P,4GY9P,23.31
TGCXG,0VW8N,153.92
0M27O,75VP3,159.06
NZ6RH,F0XXP,139.32
071R3,M91E9,166.59
ISHW8,HYNIR,58.66
OBK9B,DXGFB,42.56
402EP,BYUZ8,8.40
KXAUG,U73K1,20.65
X0SFQ,BUIJV,102.85
Y86VC,FPDDB,25.40
FY34F,BL0AF,117.70
P3FPZ,M20ME,25.55
TFJGZ,1HKJC,3.96
FKTNQ,HOWHB,11.11
PXWGX,NYOD7,83.25
TY6OR,FPP30,84.50
D22J7,7VIEE,46.40
X647O,J3AGX,16.83
AUYK2,SFGUV,6.40
O15SU,SHYOZ,131.32
6D7T3,98XWS,81.84
3F56U,X5V6L,61.12
G7YNW,7JKUZ,79.82
ZQR2O,XDEFQ,7.86
TZ0T4,MCN6O,20.60
K8UA4,92HTK,13.83
CFRC5,ABE91,415.04
TQU0V,YB79H,146.36
ETAIG,SFHYT,64.45
5506R,36TVC,8.91
91H9E,CZT6Q,12.25
0WZH2,MQH01,12.40
NMQIJ,IYKHG,45.20
HIF6V,AP4HF,158.75
YTEDF,G599Q,58.36
FX4RA,Q15QJ,29.76
UGJ9B,EG51Z,8.33
RMGGV,HYWNZ,239.58
LWN92,NEWD9,24.78
FOC3C,DDGKY,75.96
V4S82,6DKLQ,46.10
XAQHA,D0CF2,41.34
NS5H2,T0QAX,5.71
7WH7M,4WPXA,196.48
IFJFZ,E9JV8,81.40
SPS4B,KWR4E,27.52
RXQND,C64G3,25.21
M26UD,H615W,49.19
73X9S,SW0C5,77.12
F36CZ,1LND6,4.10
XXT85,JQBX1,20.34
GBWP4,NT8FG,46.84
MO8VN,2F15W,17.52
QQQBA,1QY7V,10.08
V2M4M,JYZZN,52.11
M8B06,XSMJM,20.75
XP17V,E0ZHQ,67.92
00WNZ,PAIWB,42.28
M0XRR,WT1JW,6.38
NBRMN,I4SHF,58.82
PW1LD,IVPDK,76.41
HSQIL,UYLZV,143.10
RSU9A,3YDKD,21.70
OHKIO,HNXH4,109.40
CFGLH,3SXJO,5.91
RQSBZ,1MD16,227.27
19QFR,N860B,11.80
AVLQH,D2EQP,32.12
GSWLM,O712F,75.00
B8WJY,JS0XB,30.72
Z372Y,JGKQ4,5.82
Z2TIS,YNIXS,62.80
R9YLM,BY0CZ,198.10
0HU3M,JTMNH,64.44
D0YRV,7BVM3,90.20
8JZW4,51GDC,65.34
CFXO7,UK6NK,10.55
ZM9TY,HCFWC,20.71
6PPN0,OLAQT,89.91
GA1OS,D35SR,4.74
VRU1Z,4C039,4.71
6KL6G,PWE4W,144.40
C0Y7M,8D1V7,46.00
G341K,ZUP55,147.15
AUK2M,FZSVU,15.08
FKII9,VWHPO,20.16
7L7YT,XEQ5A,28.60
GY0KK,LHQUK,16.14
5H31M,MXDKI,34.74
OE4HV,C89CM,88.52
2DR30,2AC2G,43.68
XM4JB,9W0WL,23.28
QAEOW,SFP3V,17.50
XSE5T,O7EI7,141.39
EA882,AK6G1,18.80
U5WUX,3II21,56.16
NL4VD,ZEP36,61.38
KNBNP,I9W31,108.45
KFYOB,ALLEE,18.72
T9AAN,ZVN3H,48.16
5XTXC,C0S4N,32.13
HS6UU,LDT47,3.46
15J08,77NRQ,4.66
DM43S,6EE24,2.26
VIUXI,0QR3T,11.13
Y9SFQ,170Z0,43.59
6HCGW,OOTTU,13.52
VNF5U,U5XMP,71.04
3AW1V,XM5K5,153.09
5TFVD,A8L2K,10.86
XR2HK,TNJE2,70.35
LHUHG,K39RK,3.26
OHZJ1,4ROAF,38.80
4T7M1,SYYLR,5.12
JZZJB,R05XI,30.40
4C4H5,ETNM7,14.55
V7XH3,W33UK,23.94
MX4YW,5XMLK,15.48
27PAW,DFVAW,14.55
HDSR0,ELY45,7.32
D0YRV,J05L9,159.67
ILP5K,OW4SE,2.68
GUK5T,9Z593,91.90
FYWOA,OIQ2B,19.58
1ZRV6,UKNM1,33.98
3ROM7,AXUPS,65.87
9WTKY,LUEKD,72.66
QOCKB,WN5JW,48.88
QRX7M,KOOO6,30.18
BYCXN,P95WQ,8.11
1G7CH,CEXGA,30.44
R8HGK,D9NLI,65.20
XSBPD,98FBM,32.33
YO3ED,L5W2F,37.04
RDMDW,C1OQU,0.99
PXPRJ,XK6KO,40.16
W73B2,RJEA8,96.84
YLGKV,PEDQZ,21.92
GWD4M,B32BY,257.20
EQH3C,HMMJ2,5.94
3B9XP,WEIQT,5.94
0V3IU,18MFO,15.44
DMR7G,NA5XS,10.71
12WMV,AOKBO,125.70
Z12K3,IF5N1,29.66
316HP,HTGL3,76.35
GGL3Z,QILBA,53.90
ZA9IQ,Z027A,133.83
6M30A,42215,41.46
ZNMA6,XUSXJ,5.94
QAMES,QAV60,75.58
8H7NB,PUXX1,18.72
6AMX3,ARD6R,7.68
PNG8X,YPH5A,14.36
1ZGLT,36LO0,20.40
FCTI1,0GFP4,36.06
P24HF,Z5219,81.38
IZ7H1,PZN9T,25.52
0GNDT,UVUJG,146.74
Q6HWG,PUZEE,4.95
8CTKG,9LRKJ,260.50
WZXFL,P4HVS,280.08
FW9QQ,6AQBI,244.04
1TMXQ,T4JTS,18.96
KMSQY,QJTLU,25.76
