shopper_id,order_id,item_id
QFT7M,JZK7U,RDUIV
C0CRZ,2RMA3,S2UAM
C0CRZ,2RMA3,BSR1Z
WJ8LW,51AF1,JF5MB
XJUVO,L92NT,SBFFO
KMD2W,F1TN0,8OCZ0
0TFDB,ARD8Y,E73HO
ZMABB,ROIJ2,82TZ3
4NBXO,8Y0WZ,AEJZU
4NBXO,8Y0WZ,L8RA4
8XTJ3,1PTSF,W5NNZ
8XTJ3,1PTSF,RJU50
KNBNP,M6FIH,TJMKT
I3NZB,7LJ5F,ENEHC
G2Q4I,Y53YK,K8BFE
R47CP,DHX9Z,X4RYX
BBU3I,54ETE,LSY5C
QNBDK,SWZ2V,E3L1M
ANJMP,RZFSA,RFUPT
ROZ39,9GEM2,ZK845
ECOXA,WT4WD,WE5AT
BD8T1,L8Y8M,EJXLJ
KMD2W,74G2E,FM6B9
RP5FU,MLKAN,OK962
RP5FU,MLKAN,ARQZD
RP5FU,MLKAN,0VG0W
TCIB2,SFDPV,DQ1ZU
ETAIG,4GY9P,F7OZO
UAS84,0VW8N,8PQRX
NL2AE,75VP3,LMWAW
NL2AE,75VP3,1CGHQ
NL2AE,75VP3,RQ0HV
NL2AE,75VP3,N29ZI
NL2AE,75VP3,GT45X
PNM5I,F0XXP,WID4I
PNM5I,F0XXP,ZBMUS
3E6EG,M91E9,WOODI
3E6EG,M91E9,VPQ2W
3E6EG,M91E9,YACYD
FKII9,HYNIR,IN7A4
FKII9,HYNIR,FK82E
SK4KI,DXGFB,S3JPC
DMR7G,BYUZ8,2AC3T
9M2CI,U73K1,NY2SQ
3HXMS,BUIJV,0UW5X
3HXMS,BUIJV,LHC9S
NTJ7C,FPDDB,GBJ5U
FJQB7,BL0AF,QHKJM
FJQB7,BL0AF,SQIXD
FJQB7,BL0AF,CMOP4
B7KXS,M20ME,MTNOO
1UJX9,1HKJC,0S0WU
KY1VR,HOWHB,NK27U
KY1VR,HOWHB,CUNLZ
EQS4S,NYOD7,CHDRS
EQS4S,NYOD7,TIQPZ
EQS4S,NYOD7,0GLWU
IVAK8,FPP30,UUAVC
7RVJN,7VIEE,O3JNG
DHT4W,J3AGX,ZHGMV
DHT4W,J3AGX,W252G
S8S8W,SFGUV,NX8HJ
6U497,SHYOZ,FKETW
6U497,SHYOZ,3Y539
6U497,SHYOZ,JS7C7
6U497,SHYOZ,4H1AQ
63SY1,98XWS,T3XCI
63SY1,98XWS,TW1Z0
8SJGW,X5V6L,I0I4I
DJ9Q8,7JKUZ,8G06Y
DJ9Q8,7JKUZ,4P91P
RH155,XDEFQ,T6TZZ
H47E6,MCN6O,OFNSG
K85P4,92HTK,PULHO
23DVK,ABE91,H8VMA
23DVK,ABE91,9HT9E
23DVK,ABE91,SVL1F
23DVK,ABE91,4H3M4
KEE02,YB79H,45MOL
KEE02,YB79H,60K77
JVN1X,SFHYT,HPWWC
JVN1X,SFHYT,GFZB5
QBG8L,36TVC,Q5Z8X
FDB35,CZT6Q,Z8DUZ
D3QCH,MQH01,3OLVF
R5Z9M,IYKHG,YS3TB
53DQU,AP4HF,MV7CJ
53DQU,AP4HF,JV058
6YGC3,G599Q,FJEBI
6YGC3,G599Q,QCNNE
HR35R,Q15QJ,CE338
CHAIU,EG51Z,CB0TZ
EIYQ8,HYWNZ,GM1KA
V2A0I,NEWD9,K7NWJ
BCS4T,DDGKY,O6QGK
TYTXT,6DKLQ,5R0HV
RSCP9,D0CF2,EELX9
FOC3C,T0QAX,VSX3Y
DFQHP,4WPXA,RWTGK
DFQHP,4WPXA,1VTZF
DFQHP,4WPXA,1JY7G
DFQHP,4WPXA,S63TM
LW5GF,E9JV8,22K5C
LW5GF,E9JV8,JO6B4
V7ZPX,KWR4E,NUG9D
ZUZ1G,C64G3,7N5ZA
ZUZ1G,C64G3,1QTPS
E42JX,H615W,FECWC
E42JX,H615W,4BVW1
18P8F,SW0C5,FS4OE
18P8F,SW0C5,98ZV5
H47E6,1LND6,OQ6RN
TWAG1,JQBX1,WJ74X
T6YDW,NT8FG,438AI
CYNR7,2F15W,U52AI
TOC4X,1QY7V,MYDX4
PNTR7,JYZZN,R427E
9YD22,XSMJM,OTUYX
QFT7M,E0ZHQ,GADI2
QFT7M,PAIWB,DT1XS
QFT7M,PAIWB,B0HKO
DFQHP,WT1JW,Q4QZD
RH155,I4SHF,N63J5
RH155,I4SHF,PFG5P
ZJWLB,IVPDK,UDY3X
U1OPI,UYLZV,2FS6K
U1OPI,UYLZV,Q4ZRW
SIKQI,3YDKD,XOQA2
MR3R6,HNXH4,1YDJ3
MR3R6,HNXH4,69IIJ
MR3R6,HNXH4,09KBX
MR3R6,HNXH4,821NL
HR35R,3SXJO,ZURY8
18CPE,1MD16,DH6FN
18CPE,1MD16,CL5H8
18CPE,1MD16,T1IW3
92KQS,N860B,MH08U
B1OU4,D2EQP,G3IZQ
B1OU4,D2EQP,GUZBV
Y7N2U,O712F,T5SND
OTHL0,JS0XB,5PCLG
80RYL,JGKQ4,LL054
E98WB,YNIXS,KJF63
I5IEP,BY0CZ,NNWJX
DVVFS,JTMNH,TPZ2G
DVVFS,JTMNH,7T261
DHT4W,7BVM3,OCZFM
1RBTZ,51GDC,X2RJS
AIS2H,UK6NK,YVH7D
WQVIQ,HCFWC,6XVOU
WQVIQ,HCFWC,PYQH5
SM348,OLAQT,65UWH
BQHN5,D35SR,8S9DZ
4H3OB,4C039,TXRFB
DVVFS,PWE4W,LBE03
DVVFS,PWE4W,SN9VX
DVVFS,PWE4W,XJ604
AXDVR,8D1V7,TO1X5
AXDVR,8D1V7,66VEY
7WK8W,ZUP55,DRM0D
VDCQO,FZSVU,3MII5
GYNJS,VWHPO,WOHIK
BECT8,XEQ5A,6P7F5
BECT8,XEQ5A,GVCAN
ZMJXU,LHQUK,6OEZU
ZMJXU,LHQUK,G32FU
4IT2L,MXDKI,PUROQ
CPQEB,C89CM,CD43Q
CPQEB,C89CM,93TZG
XRCX9,2AC2G,OUMFM
M73C3,9W0WL,TAJVA
8NXJS,SFP3V,2EWXY
5IBDJ,O7EI7,3OKFS
3S3RA,AK6G1,7PQG7
UFLXY,3II21,YHT7T
VIUXI,ZEP36,E40YD
RSCP9,I9W31,P2SUO
KYBF4,ALLEE,3HUY8
CHDSM,ZVN3H,CKGLH
CHDSM,ZVN3H,L274M
WQFU4,C0S4N,I9JSJ
LDP2V,LDT47,ZICE2
RSCP9,77NRQ,5HAEM
GXNJS,6EE24,H8HQX
13W4B,0QR3T,N0NHK
13W4B,0QR3T,LLUQW
EINLV,170Z0,5Y5D5
MJRBS,OOTTU,M6RF5
GIIMF,U5XMP,B7NK1
GIIMF,U5XMP,ZCQOA
7BU11,XM5K5,245AH
7BU11,XM5K5,YWJ7X
7BU11,XM5K5,NO7OE
7BU11,XM5K5,H7HMH
K3UZB,A8L2K,R6N3G
V26OY,TNJE2,ZYDGF
DKMZI,K39RK,5UQNB
Z2TIS,4ROAF,XON5U
W8G39,SYYLR,D8ZDQ
IYQ2K,R05XI,T6UDG
HAAGO,ETNM7,LBE2N
HAAGO,ETNM7,T53P2
FGYNW,W33UK,RI6F0
6ZJBP,5XMLK,RV5QN
AF94P,DFVAW,GTZMB
103IX,ELY45,M5MH7
DJ9Q8,J05L9,659I8
DJ9Q8,J05L9,Z6GIF
JBJWZ,OW4SE,644IN
LK5C1,9Z593,0FHVB
LK5C1,9Z593,BRM3X
ZM2RY,OIQ2B,UB6J9
DVVFS,UKNM1,ASCHT
DVVFS,UKNM1,3WDO8
92KQS,AXUPS,FWISN
92KQS,AXUPS,J53BE
3MODL,LUEKD,44BU6
8SJGW,WN5JW,J168W
VIUXI,KOOO6,QDAW9
KB8R8,P95WQ,JRRYW
KB8R8,P95WQ,OC2KK
PYWOH,CEXGA,KEBQZ
K8UA4,D9NLI,QZP2I
K8UA4,D9NLI,3DTB8
W8G39,98FBM,Z8H38
W8G39,98FBM,ERN6D
SM9YZ,L5W2F,B5NWW
P1S6R,C1OQU,KCBQ1
Y5B0M,XK6KO,D3K4M
KUGE3,RJEA8,7G034
T6YDW,PEDQZ,NWK6P
37JFY,B32BY,H2K7B
